day,wind_spread,wind_mean,t2m_spread,n_valid_times,lear_mae
2023-09-29 00:00:00+00:00,0.3074,3.8529,0.2631,8,9.3052
2023-09-30 00:00:00+00:00,0.1879,3.9411,0.2969,8,8.2358
2023-10-01 00:00:00+00:00,0.153,3.3881,0.2157,8,8.5096
2023-10-02 00:00:00+00:00,0.2007,2.9537,0.218,8,9.4647
2023-10-03 00:00:00+00:00,0.3835,5.7996,0.3061,8,42.3554
2023-10-04 00:00:00+00:00,0.2322,5.557,0.2736,8,12.6876
2023-10-05 00:00:00+00:00,0.2145,4.6211,0.2202,8,10.6079
2023-10-06 00:00:00+00:00,0.2867,5.137,0.2258,8,18.6153
2023-10-07 00:00:00+00:00,0.3307,5.4202,0.2971,8,18.6371
2023-10-08 00:00:00+00:00,0.2839,3.1428,0.4385,8,9.2669
2023-10-09 00:00:00+00:00,0.3422,3.3412,0.3489,8,7.1501
2023-10-10 00:00:00+00:00,0.178,3.4697,0.223,8,13.0903
2023-10-11 00:00:00+00:00,0.2036,5.5434,0.2171,8,22.9896
2023-10-12 00:00:00+00:00,0.2152,4.2865,0.3379,8,13.2236
2023-10-13 00:00:00+00:00,0.3171,5.6088,0.2718,8,21.494
2023-10-14 00:00:00+00:00,0.412,7.0782,0.4676,8,20.4955
2023-10-15 00:00:00+00:00,0.3003,6.2526,0.5496,8,26.4644
2023-10-16 00:00:00+00:00,0.1727,3.629,0.4781,8,15.2666
2023-10-17 00:00:00+00:00,0.1263,2.8215,0.2799,8,12.6313
2023-10-18 00:00:00+00:00,0.1439,3.8691,0.2166,8,14.0777
2023-10-19 00:00:00+00:00,0.2428,5.6676,0.333,8,14.6781
2023-10-20 00:00:00+00:00,0.4191,7.3103,0.4368,8,13.6308
2023-10-21 00:00:00+00:00,0.4031,5.1932,0.2998,8,14.4247
2023-10-22 00:00:00+00:00,0.2997,4.3655,0.2313,8,17.1666
2023-10-23 00:00:00+00:00,0.1772,2.9859,0.1905,8,15.4898
2023-10-24 00:00:00+00:00,0.257,4.0477,0.176,8,8.9544
2023-10-25 00:00:00+00:00,0.2559,3.9256,0.1813,8,8.5448
2023-10-26 00:00:00+00:00,0.2879,4.3511,0.173,8,22.471
2023-10-27 00:00:00+00:00,0.3001,4.3191,0.1821,8,6.7887
2023-10-28 00:00:00+00:00,0.2281,4.6368,0.2112,8,11.6054
2023-10-29 00:00:00+00:00,0.2778,5.4369,0.2516,8,23.1619
2023-10-30 00:00:00+00:00,0.3238,4.5847,0.4121,8,6.5363
2023-10-31 00:00:00+00:00,0.4261,4.6699,0.2417,8,10.108
2023-11-01 00:00:00+00:00,0.2535,4.6895,0.2206,8,8.2258
2023-11-02 00:00:00+00:00,0.3006,6.081,0.3048,8,10.9852
2023-11-03 00:00:00+00:00,0.5901,5.8598,0.4378,8,15.1403
2023-11-04 00:00:00+00:00,0.2971,6.1511,0.2366,8,9.7686
2023-11-05 00:00:00+00:00,0.4683,6.0625,0.2584,8,10.6974
2023-11-06 00:00:00+00:00,0.3619,6.2115,0.1906,8,24.8411
2023-11-07 00:00:00+00:00,0.2595,5.4611,0.1955,8,6.5881
2023-11-08 00:00:00+00:00,0.2773,5.899,0.2038,8,5.8333
2023-11-09 00:00:00+00:00,0.3437,4.8725,0.2351,8,13.615
2023-11-10 00:00:00+00:00,0.3278,5.0014,0.2985,8,4.2962
2023-11-11 00:00:00+00:00,0.1907,3.7312,0.1786,8,3.8868
2023-11-12 00:00:00+00:00,0.2239,2.5137,0.213,8,8.3971
2023-11-13 00:00:00+00:00,0.4487,4.7854,0.3271,8,10.5285
2023-11-14 00:00:00+00:00,0.6081,6.5721,0.3043,8,7.6134
2023-11-15 00:00:00+00:00,0.3132,4.9677,0.208,8,9.9633
2023-11-16 00:00:00+00:00,0.3567,4.4974,0.2527,8,9.702
2023-11-17 00:00:00+00:00,0.289,3.8696,0.1679,8,10.349
2023-11-18 00:00:00+00:00,0.1965,3.7746,0.255,8,13.9526
2023-11-19 00:00:00+00:00,0.3459,6.0731,0.2718,8,18.3321
2023-11-20 00:00:00+00:00,0.3525,4.6679,0.1782,8,15.3537
2023-11-21 00:00:00+00:00,0.2801,3.7398,0.2051,8,7.0314
2023-11-22 00:00:00+00:00,0.1996,4.0424,0.3299,8,8.8529
2023-11-23 00:00:00+00:00,0.3749,7.4441,0.2213,8,20.7552
2023-11-24 00:00:00+00:00,0.5201,8.0906,0.4975,8,7.2543
2023-11-25 00:00:00+00:00,0.317,5.3821,0.2624,8,5.6034
2023-11-26 00:00:00+00:00,0.1744,3.5804,0.2541,8,6.9695
2023-11-27 00:00:00+00:00,0.2468,4.1634,0.2056,8,7.3519
2023-11-28 00:00:00+00:00,0.2359,4.6845,0.2882,8,12.2111
2023-11-29 00:00:00+00:00,0.2667,3.662,0.3384,8,19.397
2023-11-30 00:00:00+00:00,0.2244,2.4448,0.3056,8,24.282
2023-12-01 00:00:00+00:00,0.1905,2.5241,0.2259,8,14.9184
2023-12-02 00:00:00+00:00,0.1556,2.9097,0.126,8,7.9393
2023-12-03 00:00:00+00:00,0.1335,3.4503,0.1587,8,6.3453
2023-12-04 00:00:00+00:00,0.2239,4.2679,0.3352,8,8.2026
2023-12-05 00:00:00+00:00,0.2742,4.9182,0.2628,8,7.7693
2023-12-06 00:00:00+00:00,0.2579,3.8843,0.176,8,15.6497
2023-12-07 00:00:00+00:00,0.1729,2.8119,0.1602,8,20.4515
2023-12-08 00:00:00+00:00,0.2226,4.0933,0.3008,8,12.9532
2023-12-09 00:00:00+00:00,0.2977,4.8499,0.2328,8,10.2958
2023-12-10 00:00:00+00:00,0.4602,6.0534,0.3571,8,11.2428
2023-12-11 00:00:00+00:00,0.3913,4.9398,0.222,8,12.6659
2023-12-12 00:00:00+00:00,0.2333,3.8345,0.2036,8,17.0758
2023-12-13 00:00:00+00:00,0.188,4.3943,0.2069,8,11.4193
2023-12-14 00:00:00+00:00,0.1862,2.9578,0.1911,8,12.5765
2023-12-15 00:00:00+00:00,0.192,3.8075,0.2045,8,6.0878
2023-12-16 00:00:00+00:00,0.2045,4.8987,0.2323,8,15.5023
2023-12-17 00:00:00+00:00,0.2192,5.3796,0.2471,8,9.9067
2023-12-18 00:00:00+00:00,0.2011,5.2052,0.271,8,9.5961
2023-12-19 00:00:00+00:00,0.319,5.2897,0.2974,8,6.1153
2023-12-20 00:00:00+00:00,0.3652,6.6894,0.2493,8,15.1546
2023-12-21 00:00:00+00:00,0.6236,9.1803,0.2612,8,21.1747
2023-12-22 00:00:00+00:00,0.6136,9.6315,0.4732,8,15.0677
2023-12-23 00:00:00+00:00,0.4482,7.3131,0.3465,8,12.37
2023-12-24 00:00:00+00:00,0.5001,7.5577,0.2167,8,23.8514
2023-12-25 00:00:00+00:00,0.4611,7.4588,0.1938,8,19.1681
2023-12-26 00:00:00+00:00,0.4557,6.6922,0.2056,8,18.0196
2023-12-27 00:00:00+00:00,0.2361,4.3757,0.3487,8,12.3988
2023-12-28 00:00:00+00:00,0.4153,6.8984,0.3616,8,19.692
2023-12-29 00:00:00+00:00,0.4334,7.5244,0.2198,8,18.1195
2023-12-30 00:00:00+00:00,0.3165,5.6655,0.2678,8,12.1162
2023-12-31 00:00:00+00:00,0.26,5.2939,0.2534,8,11.6213
2024-01-01 00:00:00+00:00,0.3968,5.5962,0.2496,8,13.8898
2024-01-02 00:00:00+00:00,0.4871,6.3941,0.3583,8,8.8582
2024-01-03 00:00:00+00:00,0.5911,7.7735,0.3644,8,15.6807
2024-01-04 00:00:00+00:00,0.5283,6.0717,0.3672,8,9.1684
2024-01-05 00:00:00+00:00,0.2636,4.4854,0.3664,8,13.3317
2024-01-06 00:00:00+00:00,0.2177,4.3884,0.2127,8,4.2105
2024-01-07 00:00:00+00:00,0.2174,4.9736,0.2337,8,5.8292
2024-01-08 00:00:00+00:00,0.2003,4.8517,0.3157,8,7.104
2024-01-09 00:00:00+00:00,0.1131,3.2839,0.1651,8,7.7364
2024-01-10 00:00:00+00:00,0.0847,2.5439,0.1766,8,11.8712
2024-01-11 00:00:00+00:00,0.1064,2.8949,0.1368,8,11.6161
2024-01-12 00:00:00+00:00,0.171,3.2138,0.156,8,4.2914
2024-01-13 00:00:00+00:00,0.2192,5.6303,0.1718,8,11.0906
2024-01-14 00:00:00+00:00,0.3106,5.6862,0.1768,8,10.1624
